migration_id,module,filename_part,tenant_count,error_category,root_cause
module/proactive-leadership/001_initial_tables,proactive-leadership,001_initial_tables,1,OTHER,"see raw error"
module/proactive-leadership/002_enterprise_expansion,proactive-leadership,002_enterprise_expansion,1,OTHER,"see raw error"
module/proactive-leadership/027_extracted_from_027_tenant_schema_tables,proactive-leadership,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/qiyas/000_extracted_from_000_inline_baseline,qiyas,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/qiyas/001_qiyas_tables,qiyas,001_qiyas_tables,1,OTHER,"see raw error"
module/qiyas/002_enterprise_expansion,qiyas,002_enterprise_expansion,1,OTHER,"see raw error"
module/qiyas/027_extracted_from_027_tenant_schema_tables,qiyas,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/records/001_initial_tables,records,001_initial_tables,1,OTHER,"see raw error"
module/records/002_enterprise_expansion,records,002_enterprise_expansion,1,OTHER,"see raw error"
module/records/027_extracted_from_027_tenant_schema_tables,records,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/remediation/001_remediation_tables,remediation,001_remediation_tables,1,OTHER,"see raw error"
module/remediation/002_enterprise_expansion,remediation,002_enterprise_expansion,1,OTHER,"see raw error"
module/remediation/027_extracted_from_027_tenant_schema_tables,remediation,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/reporting/001_reporting_tables,reporting,001_reporting_tables,1,OTHER,"see raw error"
module/reporting/002_enterprise_expansion,reporting,002_enterprise_expansion,1,OTHER,"see raw error"
module/reporting/027_extracted_from_027_tenant_schema_tables,reporting,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/risk/000_extracted_from_000_inline_baseline,risk,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/risk/001_risk_tables,risk,001_risk_tables,1,OTHER,"see raw error"
module/risk/002_enterprise_expansion,risk,002_enterprise_expansion,1,OTHER,"see raw error"
module/risk/027_extracted_from_027_tenant_schema_tables,risk,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/risk/040_risk_risks_soft_delete,risk,040_risk_risks_soft_delete,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/risk/099_extracted_from_099_bootstrap_tenant_domain_tables,risk,099_extracted_from_099_bootstrap_tenant_domain_tables,1,OTHER,"see raw error"
module/risk/103_risk_scenarios,risk,103_risk_scenarios,1,OTHER,"see raw error"
module/risk/104_risk_team_ownership,risk,104_risk_team_ownership,2,OTHER,"see raw error"
module/risk/109_risk_production_readiness,risk,109_risk_production_readiness,2,OTHER,"see raw error"
module/risk/112_ai_model_risk_register_link,risk,112_ai_model_risk_register_link,2,OTHER,"see raw error"
module/risk/113_risk_scoring_tables_v1,risk,113_risk_scoring_tables_v1,1,OTHER,"see raw error"
module/risk/114_risk_scoring_tables_v2,risk,114_risk_scoring_tables_v2,1,OTHER,"see raw error"
module/risk/115_risk_scoring_tables_v3,risk,115_risk_scoring_tables_v3,1,OTHER,"see raw error"
module/risk/119_risk_scoring_tables_v4,risk,119_risk_scoring_tables_v4,1,OTHER,"see raw error"
module/risk/121_risk_spec_field_alignment,risk,121_risk_spec_field_alignment,2,OTHER,"see raw error"
module/risk/122_risk_review_approval_tables,risk,122_risk_review_approval_tables,1,OTHER,"see raw error"
module/risk/123_force_rls_everywhere,risk,123_force_rls_everywhere,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/team/000_extracted_from_000_inline_baseline,team,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/team/001_team_tables,team,001_team_tables,1,OTHER,"see raw error"
module/team/002_enterprise_expansion,team,002_enterprise_expansion,1,OTHER,"see raw error"
module/team/027_extracted_from_027_tenant_schema_tables,team,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/team/028_team_structure_to_dos_views,team,028_team_structure_to_dos_views,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/training/001_training_tables,training,001_training_tables,1,OTHER,"see raw error"
module/training/002_enterprise_expansion,training,002_enterprise_expansion,1,OTHER,"see raw error"
module/training/027_extracted_from_027_tenant_schema_tables,training,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/vendor/001_vendor_tables,vendor,001_vendor_tables,1,OTHER,"see raw error"
module/vendor/002_enterprise_expansion,vendor,002_enterprise_expansion,1,OTHER,"see raw error"
module/vendor/027_extracted_from_027_tenant_schema_tables,vendor,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/widgets/001_initial_tables,widgets,001_initial_tables,1,OTHER,"see raw error"
module/widgets/002_enterprise_expansion,widgets,002_enterprise_expansion,1,OTHER,"see raw error"
module/widgets/027_extracted_from_027_tenant_schema_tables,widgets,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/workflow/000_extracted_from_000_inline_baseline,workflow,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/workflow/001_workflow_tables,workflow,001_workflow_tables,1,OTHER,"see raw error"
module/workflow/002_enterprise_expansion,workflow,002_enterprise_expansion,1,OTHER,"see raw error"
module/workflow/003_co_draft_sessions,workflow,003_co_draft_sessions,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/workflow/022_reconcile_workflow_tables,workflow,022_reconcile_workflow_tables,2,OTHER,"see raw error"
module/workflow/027_extracted_from_027_tenant_schema_tables,workflow,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
