migration_id,module,filename_part,tenant_count,error_category,root_cause
module/audit/000_extracted_from_000_inline_baseline,audit,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/audit/001_audit_tables,audit,001_audit_tables,1,OTHER,"see raw error"
module/audit/002_enterprise_expansion,audit,002_enterprise_expansion,1,OTHER,"see raw error"
module/audit/027_extracted_from_027_tenant_schema_tables,audit,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/bcp/001_bcp_tables,bcp,001_bcp_tables,1,OTHER,"see raw error"
module/bcp/002_enterprise_expansion,bcp,002_enterprise_expansion,1,OTHER,"see raw error"
module/bcp/027_extracted_from_027_tenant_schema_tables,bcp,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/benchmarks/001_initial_tables,benchmarks,001_initial_tables,1,OTHER,"see raw error"
module/benchmarks/002_enterprise_expansion,benchmarks,002_enterprise_expansion,1,OTHER,"see raw error"
module/benchmarks/027_extracted_from_027_tenant_schema_tables,benchmarks,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/compliance/000_extracted_from_000_inline_baseline,compliance,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/compliance/001_compliance_tables,compliance,001_compliance_tables,1,OTHER,"see raw error"
module/compliance/002_enterprise_expansion,compliance,002_enterprise_expansion,1,OTHER,"see raw error"
module/compliance/003_advanced_controls_tables,compliance,003_advanced_controls_tables,1,OTHER,"see raw error"
module/compliance/027_extracted_from_027_tenant_schema_tables,compliance,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/controls/000_extracted_from_000_inline_baseline,controls,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/controls/001_controls_tables,controls,001_controls_tables,1,OTHER,"see raw error"
module/controls/002_enterprise_expansion,controls,002_enterprise_expansion,1,OTHER,"see raw error"
module/controls/027_extracted_from_027_tenant_schema_tables,controls,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/dashboard-editor/001_initial_tables,dashboard-editor,001_initial_tables,1,OTHER,"see raw error"
module/dashboard-editor/002_enterprise_expansion,dashboard-editor,002_enterprise_expansion,1,OTHER,"see raw error"
module/dashboard/000_extracted_from_000_inline_baseline,dashboard,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/dashboard/001_dashboard_tables,dashboard,001_dashboard_tables,1,OTHER,"see raw error"
module/dashboard/002_enterprise_expansion,dashboard,002_enterprise_expansion,1,OTHER,"see raw error"
module/dashboard/027_extracted_from_027_tenant_schema_tables,dashboard,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/dora/001_dora_tables,dora,001_dora_tables,1,OTHER,"see raw error"
module/dora/002_enterprise_expansion,dora,002_enterprise_expansion,1,OTHER,"see raw error"
module/dora/027_extracted_from_027_tenant_schema_tables,dora,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/evidence/000_extracted_from_000_inline_baseline,evidence,000_extracted_from_000_inline_baseline,1,OTHER,"see raw error"
module/evidence/001_evidence_tables,evidence,001_evidence_tables,1,OTHER,"see raw error"
module/evidence/002_enterprise_expansion,evidence,002_enterprise_expansion,1,OTHER,"see raw error"
module/evidence/027_extracted_from_027_tenant_schema_tables,evidence,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/exception/001_exception_tables,exception,001_exception_tables,1,OTHER,"see raw error"
module/exception/002_enterprise_expansion,exception,002_enterprise_expansion,1,OTHER,"see raw error"
module/exception/027_extracted_from_027_tenant_schema_tables,exception,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/executive/001_initial_tables,executive,001_initial_tables,1,OTHER,"see raw error"
module/executive/002_enterprise_expansion,executive,002_enterprise_expansion,1,OTHER,"see raw error"
module/executive/027_extracted_from_027_tenant_schema_tables,executive,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/fitch/001_initial_tables,fitch,001_initial_tables,1,OTHER,"see raw error"
module/fitch/002_enterprise_expansion,fitch,002_enterprise_expansion,1,OTHER,"see raw error"
module/fitch/027_extracted_from_027_tenant_schema_tables,fitch,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/foundation/001_foundation_tenant_tables,foundation,001_foundation_tenant_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/governance-ai/001_initial_tables,governance-ai,001_initial_tables,1,OTHER,"see raw error"
module/governance-ai/002_enterprise_expansion,governance-ai,002_enterprise_expansion,1,OTHER,"see raw error"
module/governance-os/001_initial_tables,governance-os,001_initial_tables,1,OTHER,"see raw error"
module/governance-os/002_enterprise_expansion,governance-os,002_enterprise_expansion,1,OTHER,"see raw error"
module/governance-os/027_extracted_from_027_tenant_schema_tables,governance-os,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
